city,environment_condition,path_id,origin_name,route_condition,complexity_sum,entropy,bbox_order,stimuli category
Lima,orderly environment,17271,Estacion La Cultura,simple,2.898963731,3.23182797,0.294503245,SR_OE
Sao Paulo,complex environment,153921,Lapa Linha 7,simple,2.901554404,3.521265295,0.05586295755,SR_DE
Charlotte,complex environment,159765,Charlotte Amtrak Station,simple,2.901554404,3.442756791,0.1240230816,SR_DE
Barcelona,orderly environment,176063,Estacio del nord,simple,2.901554404,3.03052317,0.4400160106,SR_OE
Rome,complex environment,199628,Roma Ostiens,simple,2.904145078,3.446048746,0.1212163346,SR_DE
Tehran,orderly environment,72334,Tehran Railway Station,simple,2.904145078,3.033283262,0.4381343935,example route
Tehran,orderly environment,72325,Tehran Railway Station,simple,2.904145078,2.972998627,0.4785134853,SR_OE
Miami,orderly environment,122881,Culmer Station,complex,24.56735751,2.916810027,0.5147934419,CR_OE
Rome,complex environment,129160,Roma Termini,complex,24.56994819,3.498703349,0.07571242113,CR_DE
Kyoto,orderly environment,7860,Jūjō Station,complex,24.56994819,2.892414032,0.5301382791,CR_OE
Istanbul,complex environment,84422,Taksim Metro Station,complex,24.56994819,3.571678373,0.01074870732,CR_DE
Kyoto,orderly environment,106412,Nijo Station,complex,24.56994819,2.091524263,0.8969821364,CR_OE
Rome,complex environment,199050,Roma Ostiens,complex,24.57253886,3.561289557,0.02013170037,CR_DE